route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
1,D,1_22680_2_0_4,Calea Dumbravii 1,0,1.0
1,D,1_24540_2_0_1,Calea Dumbravii 1,0,1.0
1,D,1_26280_2_0_2,Calea Dumbravii 1,0,1.0
1,D,1_27480_2_0_3,Calea Dumbravii 1,0,1.0
1,D,1_28140_2_0_4,Calea Dumbravii 1,0,1.0
1,D,1_29880_2_0_1,Calea Dumbravii 1,0,1.0
1,D,1_31200_2_0_2,Calea Dumbravii 1,0,1.0
1,D,1_32400_2_0_3,Calea Dumbravii 1,0,1.0
1,D,1_34020_2_0_4,Calea Dumbravii 1,0,1.0
1,D,1_35700_2_0_1,Calea Dumbravii 1,0,1.0
1,D,1_36720_2_0_2,Calea Dumbravii 1,0,1.0
1,D,1_37800_2_0_3,Calea Dumbravii 1,0,1.0
1,D,1_39300_2_0_4,Calea Dumbravii 1,0,1.0
1,D,1_41040_2_0_1,Calea Dumbravii 1,0,1.0
1,D,1_42180_2_0_2,Calea Dumbravii 1,0,1.0
1,D,1_43200_2_0_3,Calea Dumbravii 1,0,1.0
1,D,1_44820_2_0_4,Calea Dumbravii 1,0,1.0
1,D,1_46500_2_0_1,Calea Dumbravii 1,0,1.0
1,D,1_47520_2_0_2,Calea Dumbravii 1,0,1.0
1,D,1_48600_2_0_3,Calea Dumbravii 1,0,1.0
1,D,1_50040_2_0_4,Calea Dumbravii 1,0,1.0
1,D,1_51480_2_0_1,Calea Dumbravii 1,0,1.0
1,D,1_53340_2_0_3,Calea Dumbravii 1,0,1.0
1,D,1_55080_2_0_4,Calea Dumbravii 1,0,1.0
1,D,1_56940_2_0_1,Calea Dumbravii 1,0,1.0
1,D,1_58680_2_0_3,Calea Dumbravii 1,0,1.0
1,D,1_60540_2_0_4,Calea Dumbravii 1,0,1.0
1,D,1_61620_2_0_1,Calea Dumbravii 1,0,1.0
1,D,1_64020_2_0_3,Calea Dumbravii 1,0,1.0
1,D,1_68400_2_0_3,Calea Dumbravii 1,0,1.0
1,D,1_70980_2_0_4,Calea Dumbravii 1,0,1.0
1,D,1_73080_2_0_1,Calea Dumbravii 1,0,1.0
1,D,1_74940_2_0_3,Calea Dumbravii 1,0,1.0
1,D,1_76680_2_0_4,Calea Dumbravii 1,0,1.0
1,D,1_78540_2_0_1,Calea Dumbravii 1,0,1.0
1,D,1_21600_2_1_1,Hornbach,1,1.1
1,D,1_23040_2_1_2,Hornbach,1,1.1
1,D,1_24840_2_1_4,Hornbach,1,1.1
1,D,1_26640_2_1_1,Hornbach,1,1.1
1,D,1_28440_2_1_2,Hornbach,1,1.1
1,D,1_29820_2_1_3,Hornbach,1,1.1
1,D,1_31440_2_1_4,Hornbach,1,1.1
1,D,1_33060_2_1_1,Hornbach,1,1.1
1,D,1_34140_2_1_2,Hornbach,1,1.1
1,D,1_35220_2_1_3,Hornbach,1,1.1
1,D,1_36840_2_1_4,Hornbach,1,1.1
1,D,1_38460_2_1_1,Hornbach,1,1.1
1,D,1_39540_2_1_2,Hornbach,1,1.1
1,D,1_40620_2_1_3,Hornbach,1,1.1
1,D,1_42240_2_1_4,Hornbach,1,1.1
1,D,1_43860_2_1_1,Hornbach,1,1.1
1,D,1_44940_2_1_2,Hornbach,1,1.1
1,D,1_46020_2_1_3,Hornbach,1,1.1
1,D,1_47520_2_1_4,Hornbach,1,1.1
1,D,1_48960_2_1_1,Hornbach,1,1.1
1,D,1_50640_2_1_3,Hornbach,1,1.1
1,D,1_52440_2_1_4,Hornbach,1,1.1
1,D,1_53640_2_1_1,Hornbach,1,1.1
1,D,1_55440_2_1_3,Hornbach,1,1.1
1,D,1_57240_2_1_4,Hornbach,1,1.1
1,D,1_59040_2_1_1,Hornbach,1,1.1
